Sheet Name,URL
CATALOG DISCOUNTS CHANGE SHEET,https://docs.google.com/spreadsheets/d/1VkQmOFmyJq1fZKnfkI-Tdfv_KvgVl1XcnQmJ1dCRbe4/edit#gid=1641580281
sales line discount group ,https://docs.google.com/spreadsheets/d/1VkQmOFmyJq1fZKnfkI-Tdfv_KvgVl1XcnQmJ1dCRbe4/edit#gid=1115986370
Template Work,https://docs.google.com/spreadsheets/d/1VkQmOFmyJq1fZKnfkI-Tdfv_KvgVl1XcnQmJ1dCRbe4/edit#gid=1789154744
Logos,https://docs.google.com/spreadsheets/d/1VkQmOFmyJq1fZKnfkI-Tdfv_KvgVl1XcnQmJ1dCRbe4/edit#gid=658821188
SELECTION,https://docs.google.com/spreadsheets/d/1VkQmOFmyJq1fZKnfkI-Tdfv_KvgVl1XcnQmJ1dCRbe4/edit#gid=1843881957
Product List,https://docs.google.com/spreadsheets/d/1VkQmOFmyJq1fZKnfkI-Tdfv_KvgVl1XcnQmJ1dCRbe4/edit#gid=320545467
APX (old),https://docs.google.com/spreadsheets/d/1VkQmOFmyJq1fZKnfkI-Tdfv_KvgVl1XcnQmJ1dCRbe4/edit#gid=472971801
MENU,https://docs.google.com/spreadsheets/d/1VkQmOFmyJq1fZKnfkI-Tdfv_KvgVl1XcnQmJ1dCRbe4/edit#gid=1708914855
CALC MARG,https://docs.google.com/spreadsheets/d/1VkQmOFmyJq1fZKnfkI-Tdfv_KvgVl1XcnQmJ1dCRbe4/edit#gid=1324700639
ELTUA,https://docs.google.com/spreadsheets/d/1VkQmOFmyJq1fZKnfkI-Tdfv_KvgVl1XcnQmJ1dCRbe4/edit#gid=311167720
ELTUK,https://docs.google.com/spreadsheets/d/1VkQmOFmyJq1fZKnfkI-Tdfv_KvgVl1XcnQmJ1dCRbe4/edit#gid=1464653345
ELTCA,https://docs.google.com/spreadsheets/d/1VkQmOFmyJq1fZKnfkI-Tdfv_KvgVl1XcnQmJ1dCRbe4/edit#gid=1124165374
ELTCK,https://docs.google.com/spreadsheets/d/1VkQmOFmyJq1fZKnfkI-Tdfv_KvgVl1XcnQmJ1dCRbe4/edit#gid=333928831
ELTLSA,https://docs.google.com/spreadsheets/d/1VkQmOFmyJq1fZKnfkI-Tdfv_KvgVl1XcnQmJ1dCRbe4/edit#gid=120545748
ELTLSK,https://docs.google.com/spreadsheets/d/1VkQmOFmyJq1fZKnfkI-Tdfv_KvgVl1XcnQmJ1dCRbe4/edit#gid=695394803
ELRSA,https://docs.google.com/spreadsheets/d/1VkQmOFmyJq1fZKnfkI-Tdfv_KvgVl1XcnQmJ1dCRbe4/edit#gid=856247637
ELRSK,https://docs.google.com/spreadsheets/d/1VkQmOFmyJq1fZKnfkI-Tdfv_KvgVl1XcnQmJ1dCRbe4/edit#gid=644008239
ELRSAA,https://docs.google.com/spreadsheets/d/1VkQmOFmyJq1fZKnfkI-Tdfv_KvgVl1XcnQmJ1dCRbe4/edit#gid=1469243056
ELRSAK,https://docs.google.com/spreadsheets/d/1VkQmOFmyJq1fZKnfkI-Tdfv_KvgVl1XcnQmJ1dCRbe4/edit#gid=1098162137
IPSA,https://docs.google.com/spreadsheets/d/1VkQmOFmyJq1fZKnfkI-Tdfv_KvgVl1XcnQmJ1dCRbe4/edit#gid=686971801
IPSK,https://docs.google.com/spreadsheets/d/1VkQmOFmyJq1fZKnfkI-Tdfv_KvgVl1XcnQmJ1dCRbe4/edit#gid=1268918540
APK,https://docs.google.com/spreadsheets/d/1VkQmOFmyJq1fZKnfkI-Tdfv_KvgVl1XcnQmJ1dCRbe4/edit#gid=189251014
